cod_provincia,provincia,anio,erogacion_tipo,erogaciones,total_pesos
02,Ciudad de Buenos Aires,2008,Corrientes,Bienes y servicios no personales,110221030
02,Ciudad de Buenos Aires,2008,Corrientes,Transferencias a la educación privada,604025623
02,Ciudad de Buenos Aires,2008,Corrientes,Otras transferencias,61159255
02,Ciudad de Buenos Aires,2008,De capital,De capital,157262523
02,Ciudad de Buenos Aires,2009,Total,Total,4157985264
02,Ciudad de Buenos Aires,2009,Corrientes,Personal,2942748261
02,Ciudad de Buenos Aires,2009,Corrientes,Bienes y servicios no personales,141939167
02,Ciudad de Buenos Aires,2009,Corrientes,Transferencias a la educación privada,797444755
02,Ciudad de Buenos Aires,2009,Corrientes,Otras transferencias,121241938
02,Ciudad de Buenos Aires,2009,De capital,De capital,154611143
02,Ciudad de Buenos Aires,2010,Total,Total,5153081496
02,Ciudad de Buenos Aires,2010,Corrientes,Personal,3641548888
02,Ciudad de Buenos Aires,2010,Corrientes,Bienes y servicios no personales,179301972
02,Ciudad de Buenos Aires,2010,Corrientes,Transferencias a la educación privada,940871165
02,Ciudad de Buenos Aires,2010,Corrientes,Otras transferencias,153840427
02,Ciudad de Buenos Aires,2010,De capital,De capital,237519043
02,Ciudad de Buenos Aires,2011,Total,Total,6975091937
02,Ciudad de Buenos Aires,2011,Corrientes,Personal,4754723741
02,Ciudad de Buenos Aires,2011,Corrientes,Bienes y servicios no personales,241536875
02,Ciudad de Buenos Aires,2011,Corrientes,Transferencias a la educación privada,1226439526
02,Ciudad de Buenos Aires,2011,Corrientes,Otras transferencias,189341979
02,Ciudad de Buenos Aires,2011,De capital,De capital,563049815
10,Catamarca,2003,Total,Total,151781263
10,Catamarca,2003,Corrientes,Personal,132230277
10,Catamarca,2003,Corrientes,Bienes y servicios no personales,3855231
10,Catamarca,2003,Corrientes,Transferencias a la educación privada,11203524
10,Catamarca,2003,Corrientes,Otras transferencias,2286675
10,Catamarca,2003,De capital,De capital,2205557
10,Catamarca,2004,Total,Total,182543400
10,Catamarca,2004,Corrientes,Personal,162161151
10,Catamarca,2004,Corrientes,Bienes y servicios no personales,3102150
10,Catamarca,2004,Corrientes,Transferencias a la educación privada,13353040
10,Catamarca,2004,Corrientes,Otras transferencias,2222597
10,Catamarca,2004,De capital,De capital,1704462
10,Catamarca,2005,Total,Total,256073894
10,Catamarca,2005,Corrientes,Personal,224583319
10,Catamarca,2005,Corrientes,Bienes y servicios no personales,4445856
10,Catamarca,2005,Corrientes,Transferencias a la educación privada,19640558
10,Catamarca,2005,Corrientes,Otras transferencias,5494252
10,Catamarca,2005,De capital,De capital,1909909
10,Catamarca,2006,Total,Total,376704407
10,Catamarca,2006,Corrientes,Personal,321265418
10,Catamarca,2006,Corrientes,Bienes y servicios no personales,6501684
10,Catamarca,2006,Corrientes,Transferencias a la educación privada,27738970
10,Catamarca,2006,Corrientes,Otras transferencias,5763135
10,Catamarca,2006,De capital,De capital,15435200
10,Catamarca,2007,Total,Total,493442795
10,Catamarca,2007,Corrientes,Personal,414586081
10,Catamarca,2007,Corrientes,Bienes y servicios no personales,8828493
10,Catamarca,2007,Corrientes,Transferencias a la educación privada,40784503
10,Catamarca,2007,Corrientes,Otras transferencias,5184014
10,Catamarca,2007,De capital,De capital,24059704
10,Catamarca,2008,Total,Total,747318235
10,Catamarca,2008,Corrientes,Personal,586772695
10,Catamarca,2008,Corrientes,Bienes y servicios no personales,18740626
10,Catamarca,2008,Corrientes,Transferencias a la educación privada,58221762
10,Catamarca,2008,Corrientes,Otras transferencias,11837263
10,Catamarca,2008,De capital,De capital,71745889
10,Catamarca,2009,Total,Total,821258372
10,Catamarca,2009,Corrientes,Personal,678001196
10,Catamarca,2009,Corrientes,Bienes y servicios no personales,12995084
10,Catamarca,2009,Corrientes,Transferencias a la educación privada,68274048
10,Catamarca,2009,Corrientes,Otras transferencias,12706728
10,Catamarca,2009,De capital,De capital,49281317
10,Catamarca,2010,Total,Total,947117924
10,Catamarca,2010,Corrientes,Personal,790015874
10,Catamarca,2010,Corrientes,Bienes y servicios no personales,24262660
10,Catamarca,2010,Corrientes,Transferencias a la educación privada,85961936
10,Catamarca,2010,Corrientes,Otras transferencias,4870423
10,Catamarca,2010,De capital,De capital,42007031
10,Catamarca,2011,Total,Total,1270527463
10,Catamarca,2011,Corrientes,Personal,1045999656
10,Catamarca,2011,Corrientes,Bienes y servicios no personales,68887257
10,Catamarca,2011,Corrientes,Transferencias a la educación privada,106443992
10,Catamarca,2011,Corrientes,Otras transferencias,20460558
10,Catamarca,2011,De capital,De capital,28736000
22,Chaco,2003,Total,Total,326005848
22,Chaco,2003,Corrientes,Personal,293403549
22,Chaco,2003,Corrientes,Bienes y servicios no personales,0
22,Chaco,2003,Corrientes,Transferencias a la educación privada,15080144
22,Chaco,2003,Corrientes,Otras transferencias,9422266
22,Chaco,2003,De capital,De capital,8099889
22,Chaco,2004,Total,Total,424070812
22,Chaco,2004,Corrientes,Personal,383978699
22,Chaco,2004,Corrientes,Bienes y servicios no personales,0
22,Chaco,2004,Corrientes,Transferencias a la educación privada,19874738
22,Chaco,2004,Corrientes,Otras transferencias,10053343
22,Chaco,2004,De capital,De capital,10164032
22,Chaco,2005,Total,Total,574587406
22,Chaco,2005,Corrientes,Personal,489898752
22,Chaco,2005,Corrientes,Bienes y servicios no personales,0
