concepto,anio,provinciaid,provincia,egb_1y2_total,egb_1,egb_2,egb_3,egb_4,egb_5,egb_6,egb_3_total,egb_7,egb_8,egb_9,poli_total,poli_1,poli_2,poli_3
promocion,2003,34,FORMOSA                        ,85.0441313757,75.5483181517,86.44747874,88.6010362694,86.2936688529,89.8059637609,86.7062002702,81.2730021968,98.2507046924,73.7218813906,70.6861313869,77.3608687221,79.2333412945,75.3619114547,77.0772523837
promocion,2003,38,JUJUY                          ,93.3793290608,90.1636385513,94.2579286422,94.3742405832,94.2611553533,94.4279057727,92.9047432379,78.669105877,102.1816595157,71.9711811919,63.3159084487,71.3294229647,73.1575229574,74.5618741059,64.44778884
promocion,2003,42,LA PAMPA                       ,94.1312008674,91.5971675846,95.4591152815,94.8392415499,94.5166666667,93.6661819357,94.8360525899,82.6430093899,87.1166613974,78.746457743,81.6646801748,75.7887744935,72.0632208458,79.1287226188,76.9627159745
promocion,2003,46,LA RIOJA                       ,88.9676645699,84.7033017779,90.0742905858,88.6962890625,88.8647404756,91.8839808409,90.2244039271,81.0793308149,85.2375565611,82.0475497331,74.3696682464,79.4286188855,81.7666303162,83.591961333,71.7446808511
promocion,2003,50,MENDOZA                        ,91.1889053851,86.0303978543,92.0168678203,91.9246886276,91.5359653867,92.4086706079,93.6146721462,79.7077307488,98.9216462208,72.2667550627,68.1075291109,76.868725044,72.4410726601,86.0471149855,72.868445914
promocion,2003,54,MISIONES                       ,83.562934912,76.4651990681,84.507954125,85.9303222345,85.2495125298,85.6242414752,86.5656393666,76.2223876893,82.981997948,75.0948298259,68.3822126089,76.4182493173,72.2763915547,83.2915541843,74.5324053936
promocion,2003,58,NEUQUEN                        ,92.9695480522,91.2566975158,94.3888281316,93.8274685966,93.8328194016,91.898458445,92.6716065467,77.3341043805,98.5036751838,68.3165968214,65.1665080875,78.2405024194,75.7228378551,83.880550344,75.0917165476
promocion,2003,62,RIO NEGRO                      ,91.9002355008,88.1020422388,94.1768565464,94.2522737438,93.3083865287,91.9644839068,89.8723965972,73.9810477575,93.6691895301,62.5415883119,65.3723204212,73.5720013207,75.1784669397,78.6095505618,64.6134393064
promocion,2003,66,SALTA                          ,91.1921036957,86.5575183111,91.3580246914,92.9487813726,92.4994827229,92.1444115444,92.2570713873,84.9392007639,104.1743453478,80.9793141637,69.5115476507,75.5755141508,74.2990210056,80.9033862853,71.0972286835
promocion,2003,70,SAN JUAN                       ,88.4695310958,80.9520989993,88.9777115372,91.3698152666,89.5078654929,89.7177715714,92.1359835936,79.3578112927,86.7012497053,72.314453125,78.664921466,75.991861648,72.9013414106,82.844614963,72.4575572771
promocion,2003,74,SAN LUIS                       ,87.295751634,81.7878405196,88.3720930233,91.8396022482,88.8937424921,86.6942909761,87.1641426478,81.7295709453,85.3951277481,81.6038978141,77.1017185323,78.1818181818,80.8915983997,85.0011717835,66.2441443924
promocion,2003,78,SANTA CRUZ                     ,88.7207702889,89.8071625344,93.9381611066,92.4562830419,89.0509490509,85.1118590378,81.9027921406,71.8672456576,69.5932733672,69.573198715,78.183411215,75.1670513911,76.8605784855,77.7376219733,70.004189359
promocion,2003,82,SANTA FE                ,92.324142123,87.6167931272,93.456190868,93.4832019909,92.77185215,93.779199675,93.1624370698,84.0788907071,100.5906232033,74.9814870252,77.1309030188,77.7357254317,71.3556977347,82.6162526406,81.2198441173
promocion,2003,86,SANTIAGO DEL ESTERO,84.1935275034,73.879663138,84.8744246144,86.3382819875,86.1475222654,87.863156358,90.525982256,75.6192742415,74.4401679496,80.0151860289,72.4011275305,81.5873529293,82.8718397724,84.5094045765,76.6036694717
promocion,2003,94,TIERRA DEL FUEGO               ,96.7529443077,97.3861720067,98.6762936221,97.1505583365,96.1462839166,95.6227616395,95.5794504182,81.580532466,88.0724538619,80.3577571379,75.3241491086,77.9095477387,82.8242363545,84.052532833,63.6693255983
promocion,2003,90,TUCUMAN                        ,91.9797965952,87.6647073572,91.0188271327,92.2596985421,93.0767954885,94.3477968834,94.6156030383,85.8243339486,103.4527003383,77.1333184954,73.3035844206,79.7872831303,78.1310494515,82.6383097025,78.7135779662
repitencia,2003,6,BUENOS AIRES ,5.1697016252,6.6916959623,5.4406341401,4.6953331387,4.5520913854,4.6024180293,4.8966508235,8.6762315035,8.3324037122,10.6023275028,6.9001745449,8.2464666444,11.3466979712,9.8189713167,1.2836862988
repitencia,2003,10,CATAMARCA                      ,5.718314563,8.1086519115,5.718055861,6.3998264454,6.1238453644,4.1657103512,3.2594044847,4.9043558424,4.7859922179,6.1662564944,3.6576225453,4.1568199721,5.6856187291,5.6177745665,0.3839590444
repitencia,2003,22,CHACO                          ,8.3812847845,14.372194661,9.4147151523,9.0439098366,6.3704597745,4.6125461255,4.2830540037,9.2209882248,3.4038638454,12.4655677496,12.1005069429,5.6389540914,9.172674219,5.6154796212,0.4834810637
repitencia,2003,26,CHUBUT                         ,7.187253185,10.0741897696,6.1585993821,6.3232572486,7.53894081,7.0557582074,5.7620220628,12.440209129,9.9794450154,13.5934200289,14.0863867993,8.9073367736,13.9081512495,8.5678881218,0.9038800705
repitencia,2003,2,CIUDAD DE BUENOS AIRES,2.3486962422,3.7443612944,2.4186046512,2.0244565217,2.06583996,2.0671411819,1.7098389789,8.2680978129,0.5867695523,11.3360776769,11.8384301368,6.2041541194,9.9121017109,6.5295091971,1.2657819109
repitencia,2003,14,CORDOBA                        ,4.0459539088,7.2905315181,4.1885333553,3.8169272426,3.9912222809,3.4226436288,1.2745982426,12.0938025379,11.9971212666,13.6573992299,10.3750393949,5.4297529695,9.8524305556,4.3047673099,0.4257670307
repitencia,2003,18,CORRIENTES                     ,11.9599284346,16.2764988945,14.4947285376,13.5788344655,10.888596656,7.8557658605,6.0926415357,7.9416825138,7.3344087106,7.950889985,8.6517189836,6.6651565774,9.763121895,6.8643512451,1.7351697213
repitencia,2003,30,ENTRE RIOS                     ,9.0237679603,15.6129705748,8.9574937267,8.0325228799,7.7649486172,7.4044102772,4.7310218675,11.0670417685,9.1791927039,14.0878828229,9.8274488983,4.9596745583,8.1989580749,4.9121100535,0.5780346821
repitencia,2003,34,FORMOSA                        ,10.792030892,18.3044119892,11.4384956282,9.921320284,9.7041895329,7.1479526323,4.9767302207,8.2337165844,3.6975625933,11.0193487494,10.1119221411,4.3630017452,6.3410556484,4.8489107519,0.4670169294
repitencia,2003,38,JUJUY                          ,5.6802287957,8.843701119,5.9650644202,5.4070473876,5.081532044,4.6660626456,3.8808310466,9.858220901,1.9489491673,11.5085634835,15.6965244419,10.1495562448,14.520053371,10.5865522175,3.137300301
repitencia,2003,42,LA PAMPA                       ,5.2886961236,8.1982690795,4.8257372654,5.539983512,4.9333333333,4.7018904508,3.4690321559,9.3438562129,6.9079987354,12.785464244,8.3035359555,8.1451345068,11.4694574968,9.8695545164,1.3034252804
repitencia,2003,46,LA RIOJA                       ,8.0722866219,12.1334564766,7.8187796858,8.8989257813,8.245972897,6.0404470463,4.4319775596,9.0124123044,8.3851809955,10.1083616367,8.5687203791,3.8535005398,5.5179934569,4.299160519,1.1914893617
repitencia,2003,50,MENDOZA                        ,7.5506110691,11.4662494412,7.7097571616,7.2808753347,7.1540171865,5.9511899348,5.3916457094,11.3879003559,2.9349690015,15.5556894889,15.4659479631,6.4791231904,11.8544362854,4.3897882939,1.0333018422
repitencia,2003,54,MISIONES                       ,10.9271915616,16.8756380389,11.3423356764,9.673741743,10.2368744132,8.1039815214,6.1552869062,10.8640924724,8.9590523272,12.0135100026,12.0554742668,4.9703924155,8.2687140115,5.0520632472,0.2066115702
repitencia,2003,58,NEUQUEN                        ,6.4161674167,7.4930995291,6.6627408093,6.2557191581,6.2255187932,6.9034852547,4.9670222295,13.6591007662,2.0738536927,18.6447378825,20.2568981922,9.528467003,14.8516112597,8.6772983114,2.5101370921
repitencia,2003,62,RIO NEGRO                      ,7.1589813674,11.2148881299,6.3226960931,5.4793499329,6.4641573116,6.9256381798,6.2921677911,13.6165401389,1.8921475875,20.5771734413,18.5502068447,8.8675062497,12.8145114102,10.5056179775,0.6683526012
repitencia,2003,66,SALTA                          ,6.7992171767,10.9712562319,7.9064880483,6.0387190396,6.2556038347,5.1621419143,3.5443525111,7.9277710691,1.9928856127,8.8597081043,13.012122821,4.4014280933,5.2894211577,6.3146588275,0.9104804945
repitencia,2003,70,SAN JUAN                       ,8.0697029151,12.9374148854,8.9357089628,7.0407807598,7.7644681772,6.313391151,3.9596150812,10.0621011361,7.985538002,13.8671875,8.0144985904,5.5597328498,9.8550411077,4.2888462592,0.5439261579
repitencia,2003,74,SAN LUIS                       ,9.441602728,13.4493956341,9.6244840431,7.8361435365,9.522769466,8.1952117864,6.8392769907,8.4475698772,7.7243018419,8.6647353174,9.1345409506,2.9440852035,4.6104019813,3.2106866651,0.220446404
repitencia,2003,78,SANTA CRUZ                     ,11.2523903781,10.8225108225,7.7908868999,9.0077267182,12.2077922078,14.056622451,13.588417787,18.3157568238,20.4536566289,20.927030748,11.7990654206,9.257684364,12.5771855704,12.6129382002,1.0892333473
repitencia,2003,82,SANTA FE                ,6.2902691054,10.2229259422,6.6556972439,6.3790958109,5.8395384719,4.688875347,3.6028631118,8.8410415411,3.2440719898,12.6408167767,10.3435336498,5.7374151888,9.9169980979,5.2089739819,0.3680564147
repitencia,2003,86,SANTIAGO DEL ESTERO,11.2855077364,19.4033889133,13.3247193733,10.4050459109,9.4861840603,6.9151783542,3.8498098859,6.6769779893,3.4581292279,7.5474563402,10.4125736739,3.8410221162,5.3737550618,4.7202587756,0.8966754035
repitencia,2003,94,TIERRA DEL FUEGO               ,2.7413666911,2.6981450253,1.7649418371,2.7724297266,3.5391270153,2.9048945483,2.7479091995,12.1190218046,8.6466165414,13.6566907465,14.4246353323,5.4472361809,7.3109664497,7.1919949969,0.7251631617
repitencia,2003,90,TUCUMAN                        ,6.5740150049,10.4771986517,8.2875416629,7.0206325673,5.5133521314,3.8789629232,3.0453609711,6.4853708522,1.5941521832,9.8108168262,8.9634767425,4.2612587671,7.7374318062,3.1832082291,0.5877907465
abandono,2004,6,BUENOS AIRES ,1.1332065827,1.4921145575,0.4490410698,0.3598448907,0.2938801638,0.8218200931,3.4705598964,6.9208140493,3.5252945772,7.6554919279,10.1271827483,24.2443746372,24.502403544,16.1010663456,34.2361781332
abandono,2004,10,CATAMARCA                      ,1.9473800902,2.6152573909,0.8265349936,2.2942263782,0.340771683,2.2972172883,3.4306134604,6.1035178131,4.4348894349,5.5111821086,8.809845415,15.3678342019,13.2566204288,9.2029120777,25.0364507394
abandono,2004,22,CHACO                          ,3.9672351251,4.8751661988,2.8296286525,3.505959434,3.3319803697,4.7492355954,4.555956386,9.4425552587,0.8109040718,11.6701955412,17.3162733186,20.8048431123,18.2320441989,17.8542378396,27.8247501922
abandono,2004,26,CHUBUT                         ,0.8378833144,0.8492776259,0.0720906282,-0.6888751799,1.214953271,0.9275664409,2.7310699368,5.6546405132,3.1551901336,5.2684228076,9.0269352099,15.8963428315,15.334292817,11.8428040361,21.8915343915
abandono,2004,2,CIUDAD DE BUENOS AIRES,0.454126541,0.5829317581,-0.1143039422,-0.9330725312,-0.1850858369,-0.7650182999,4.1636211051,4.9772457381,-12.7257000757,10.0410053753,15.0381568779,12.6038903192,8.4812366627,9.0272419728,21.8936290672
abandono,2004,14,CORDOBA                        ,1.0525096078,1.1812627291,0.5762575453,0.1939848128,0.6601692118,1.8152722908,1.9046482284,10.5320103151,9.5451984939,9.6978417266,12.9868518978,16.7919845915,15.639722435,9.711094216,26.29539163
abandono,2004,18,CORRIENTES                     ,4.4068570849,4.3276108727,3.4963781109,3.4858777261,5.1362013902,3.5094637224,6.9411601057,9.2782758308,7.9645125517,10.856744585,9.0762331839,19.5424429469,13.4062927497,23.3043905636,23.8043596139
abandono,2004,30,ENTRE RIOS                     ,2.2656514707,3.499017878,0.4712673072,1.3840964603,1.9009603604,3.2027021528,3.165695682,11.1648534818,6.8652641722,13.1661045531,14.3765149475,14.1948649803,13.112193903,10.4936468526,19.6623794212
abandono,2004,34,FORMOSA                        ,4.5649012177,8.0027359781,2.3991406063,2.1268610034,4.5225802235,4.4185377087,5.5161485059,11.1218222381,0.6248516966,14.1337156656,20.0345754898,14.794646038,8.7601263216,17.893982808,18.9379873747
abandono,2004,38,JUJUY                          ,1.6431338248,1.5159621901,1.1097178683,0.5898056746,1.2486228425,1.4326830828,4.1027329602,13.4032949673,2.1445913137,15.568296371,23.1447465099,21.6383706668,15.5304626275,16.2970014279,36.5737514518
abandono,2004,42,LA PAMPA                       ,0.9049773756,1.267281106,0.8020952693,0.0331510028,0.5125661376,1.5766521302,1.2466755319,10.4934485643,7.981580967,10.9270468302,13.1466355504,17.4916929369,13.9880952381,11.9735099338,28.9441375077
abandono,2004,46,LA RIOJA                       ,1.4575586954,2.58815149,0.2255921795,0.4307692308,0.8090001264,1.0398379473,3.7939628912,10.021942134,5.1219840949,7.8761460995,19.185520362,14.8719717217,12.359292442,12.5319040327,20.9134615385
abandono,2004,50,MENDOZA                        ,1.2218114877,2.0164551666,0.1524982807,0.9050436413,0.8183691492,2.4546688047,0.9677719532,11.3403367999,-1.1286536545,16.0186580961,19.1868433074,19.0535702223,18.6679016504,11.0148647204,28.5714285714
abandono,2004,54,MISIONES                       ,4.1921800801,5.7218787287,2.5812532304,2.5745973066,3.9245309536,5.864714358,4.6318136982,12.4024299192,8.9412811388,11.8030340711,17.8993087417,16.0252178505,13.8034188034,12.8194807808,22.7073227073
abandono,2004,58,NEUQUEN                        ,0.2022625507,0.6502167389,-0.8642898695,-0.9355162045,0.2078829203,1.2910700985,0.8809050868,9.7355902202,-1.8773360516,14.2857142857,16.6775002321,13.440460249,10.5656219393,9.0923076923,22.8571428571
abandono,2004,62,RIO NEGRO                      ,0.613179669,0.489279033,-0.2075919336,-0.5087535538,0.4140786749,0.4467882517,3.0781967336,12.9429729872,3.331750554,17.4657069129,18.1073446328,17.3878167319,10.6116609038,11.8516452872,34.522541711
abandono,2004,66,SALTA                          ,2.0765623419,2.5861012379,1.2019388223,1.0655875906,1.900190019,2.9182879377,2.8822429907,7.014817395,-4.7974068071,10.441857837,15.5797565663,16.3602638087,8.5156746146,12.6917795952,30.0179955703
abandono,2004,70,SAN JUAN                       ,3.4607659891,6.1104861152,2.0865795,1.5894039735,2.7276663299,3.9688372777,3.9044013251,10.5800875712,5.3132122927,13.818359375,13.3205799436,18.4484055022,17.2436174816,12.8665387777,26.998516565
abandono,2004,74,SAN LUIS                       ,3.5662684568,6.9170865781,2.9831387808,-0.526149637,4.0239086349,4.3154089471,3.2254078102,9.5418352695,7.1240421456,11.4609892912,10.2991012229,17.2028394502,15.0076569678,16.7008898015,20.9628610729
abandono,2004,78,SANTA CRUZ                     ,-0.0753332678,-1.2972148035,-1.7182130584,-1.6795099783,-0.484683986,0.6193148829,4.1969330105,9.0417840018,7.7599388379,11.0266159696,8.4109429569,16.1604938272,11.4365846058,11.0537951363,29.4901240239
abandono,2004,82,SANTA FE                ,1.934713198,2.0707257171,0.2853138452,1.2746730868,1.9789734075,1.8437543038,4.2483262325,8.1116930821,-1.6316246742,12.7130887027,12.9729017193,20.3052064632,20.9334067144,15.6950800915,24.5816540384
abandono,2004,86,SANTIAGO DEL ESTERO,4.0404623443,6.1441046516,1.5470887687,2.5549157603,3.7839542322,4.50623675,5.8134582624,15.8855723681,18.2582081247,12.3192092449,16.4327634601,10.3271086602,8.7437867149,7.8458448406,15.072341621
abandono,2004,94,TIERRA DEL FUEGO               ,-1.3251715324,-1.4724442575,-2.6338147833,-2.6856240126,-0.6505931879,-0.714853058,0.1213592233,5.9910016576,-2.4100719424,5.5480833894,15.1560178306,16.3109457607,10.4838709677,12.7755794234,29.4682422452
abandono,2004,90,TUCUMAN                        ,2.0003547838,2.4377062237,1.3731046773,1.3625901488,2.3880502347,2.2489987334,2.2555352147,7.8101071975,-3.1245388815,14.4493422651,13.2926574885,13.1368952075,14.2505455156,8.3907962546,16.9397993311
promocion,2004,6,BUENOS AIRES ,93.5200127556,91.6694058817,94.0259547855,94.8364943588,94.9953081013,94.170671272,91.40922572,83.2615228555,86.8409693312,80.4643160469,82.2529637512,66.8634547752,63.201033681,74.0583480243,64.0638356542
promocion,2004,10,CATAMARCA                      ,92.0977754785,89.2288608642,93.4628595964,91.8886593454,93.2175442454,92.5873297809,92.4121500893,87.3134662783,89.6191646192,87.1405750799,84.6915803692,79.7297297297,80.895334174,83.5355609483,73.9429285566
promocion,2004,22,CHACO                          ,87.5412210864,80.9691239474,87.6294439681,87.5967101136,90.358289362,90.0964936664,90.6813667869,79.7197595336,94.9577294686,73.6289284676,68.6145906134,73.0142428583,70.8930694454,76.8586302261,71.3873943121
promocion,2004,26,CHUBUT                         ,91.9748635006,89.0765326045,93.7693099897,94.3656179313,91.246105919,92.0166753517,91.5069080004,81.9051503578,86.865364851,81.1381571635,76.8866779908,75.1963203949,70.7575559335,79.5893078421,77.2045855379
promocion,2004,2,CIUDAD DE BUENOS AIRES,97.1652708954,95.5904451008,97.8016427869,98.9109748361,98.1813304721,98.6901125513,93.8493191478,85.7744020531,111.9931884528,77.3663076041,71.9063948995,80.5983299233,81.0831208036,83.7141670129,76.4811669497
promocion,2004,14,CORDOBA                        ,94.8254599729,91.6481278396,95.4028169014,95.8550253672,95.0469936242,94.6742011302,96.5504893769,76.630227604,76.4994515106,76.9384492406,76.4140411808,77.6640862286,74.1302884727,86.192174981,73.124898225
promocion,2004,18,CORRIENTES                     ,83.6332144806,79.3958902328,82.0088933515,82.9352878084,83.9752019538,88.6347704171,86.9661983586,82.7800416553,84.7010787378,81.19236543,82.2720478326,73.7924004757,76.8305853553,69.8312581914,74.4604706648
promocion,2004,30,ENTRE RIOS                     ,88.7791437321,81.7025668342,90.7975011873,91.0208196022,89.6178318776,89.1140682863,91.7794722413,75.199797598,81.1947968524,70.5016863406,73.1591704821,79.7992501542,77.0052473763,83.4087921718,79.421221865
promocion,2004,34,FORMOSA                        ,84.3381424037,73.5820267284,85.3604678921,88.0583010134,85.3735049997,87.8670120898,89.0884394808,78.0758531413,95.7209523056,71.7325686689,64.7233960814,79.2508524607,84.1960730468,74.8853868195,78.2213145191
promocion,2004,38,JUJUY                          ,93.8814611187,92.1288865109,93.9937304075,95.1387595455,93.9527481944,95.00479693,93.1379650971,75.9309410968,96.074993256,70.5015120968,60.3159441587,66.5063585308,67.9447206539,70.5854355069,59.5470383275
promocion,2004,42,LA PAMPA                       ,93.5547952765,90.6352863726,94.4180716975,94.4140560252,94.3287037037,92.6366990943,94.8969414894,76.2029551157,82.2409823484,71.2328767123,74.6207701284,72.531311238,71.6198979592,76.3973509934,69.3677102517
promocion,2004,46,LA RIOJA                       ,90.6406034208,84.6135581147,92.0416092242,91.2492307692,91.859436228,92.9101958136,91.7751315425,81.4308312497,85.6854023453,82.9099654291,73.9366515837,83.1106129839,84.4475074661,85.3241449719,78.7560096154
promocion,2004,50,MENDOZA                        ,92.3786477432,87.7367173337,93.1824298059,93.5533946459,93.5089785105,92.3183668435,94.3329507739,77.1862957293,98.4661886234,68.3779402145,64.8135783814,73.7907856516,69.0762883126,82.9216126617,70.2828499821
promocion,2004,54,MISIONES                       ,86.4021721374,80.7028961926,87.6409960171,88.8137047795,86.736701567,86.564897387,89.9472487884,76.6476617118,81.5524911032,75.9214125839,70.7958646847,79.3735146554,79.1025641026,81.8373918293,76.9115269115
promocion,2004,58,NEUQUEN                        ,93.358813765,91.8639546516,94.7643979058,94.3701971266,93.5639447863,91.8232227096,93.7904827705,76.6981967032,99.5242949371,66.7425633492,64.3328071316,76.794127858,73.8736532811,81.9846153846,74.9954504095
